epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.30575,1.84954,4.05886,2.00427,0,0,0,0,0,68.875,0,0.00010002,0.00010002,0.00010002
2,7.85958,1.48028,3.50123,1.54583,0,0,0,0,0,65.625,0,0.000212419,0.000212419,0.000212419
3,10.4245,1.29671,2.42789,1.28252,0,0,0,0,0,52.2812,0,0.000320197,0.000320197,0.000320197
4,13.5014,1.232,2.19096,1.18065,0,0,0,0,0,49.2188,0,0.000423355,0.000423355,0.000423355
5,15.5263,1.20479,1.92435,1.13051,0,0,0,0,0,47.6875,0,0.000521891,0.000521891,0.000521891
6,18.0751,1.21146,1.7054,1.13924,0,0,0,0,0,56.125,0,0.000615806,0.000615806,0.000615806
7,21.3101,1.27396,1.93304,1.21279,0,0,0,0,0,59.4062,0,0.000705101,0.000705101,0.000705101
8,23.5209,1.18435,1.60614,1.19635,0,0,0,0,0,59.6875,0,0.000789775,0.000789775,0.000789775
9,25.7332,1.12986,1.51879,1.16757,0,0,0,0,0,43.8438,0,0.000869827,0.000869827,0.000869827
10,27.8178,1.17469,1.57161,1.19417,0,0,0,0,0,50.7812,0,0.000945259,0.000945259,0.000945259
11,29.8296,1.10373,1.49938,1.16233,0,0,0,0,0,55.6875,0,0.00101607,0.00101607,0.00101607
12,31.9584,1.08912,1.29785,1.13044,0,0,0,0,0,60.9375,0,0.00108226,0.00108226,0.00108226
13,34.9991,1.12005,1.40534,1.18202,0,0,0,0,0,60.6875,0,0.00114383,0.00114383,0.00114383
14,37.801,1.13257,1.35091,1.13743,0,0,0,0,0,66.3125,0,0.00120078,0.00120078,0.00120078
15,39.765,1.15734,1.31438,1.15068,0,0,0,0,0,69.3125,0,0.00120491,0.00120491,0.00120491
16,41.7123,1.07502,1.14207,1.08515,0,0,0,0,0,74.8125,0,0.0011719,0.0011719,0.0011719
17,43.8231,1.11533,1.21052,1.1446,0,0,0,0,0,79.6875,0,0.00113889,0.00113889,0.00113889
18,45.839,1.06802,1.18001,1.11205,0,0,0,0,0,82.9375,0,0.00110589,0.00110589,0.00110589
19,48.2456,1.02082,1.13191,1.07426,0,0,0,0,0,93.3125,0,0.00107288,0.00107288,0.00107288
20,51.5175,0.9647,1.09627,1.07995,0,0,0,0,0,109.875,0,0.00103987,0.00103987,0.00103987
21,53.8449,0.89692,1.08381,1.08023,0,0,0,0,0,107.125,0,0.00100687,0.00100687,0.00100687
