epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.60075,1.84954,4.05886,2.00427,0.00252,0.75,0.01459,0.00489,1.60701,3.80066,1.99931,0.00010002,0.00010002,0.00010002
2,6.48928,1.48028,3.50123,1.54583,0.00333,1,0.35775,0.17916,1.08676,3.39907,1.24854,0.000212419,0.000212419,0.000212419
3,9.58684,1.29671,2.42789,1.28252,0.00333,1,0.65161,0.33211,1.24567,2.97397,1.17255,0.000320197,0.000320197,0.000320197
4,11.9221,1.232,2.19096,1.18065,0.00341,1,0.66736,0.35918,1.23811,2.88692,1.29433,0.000423355,0.000423355,0.000423355
5,14.0595,1.20479,1.92435,1.13051,0.52131,0.825,0.72636,0.42776,1.23103,2.62883,1.16068,0.000521891,0.000521891,0.000521891
6,16.0877,1.21146,1.7054,1.13924,0.88531,0.41267,0.75905,0.41742,1.33456,2.67079,1.25283,0.000615806,0.000615806,0.000615806
7,18.3483,1.27396,1.93304,1.21279,0.96708,0.15,0.70935,0.35569,1.52313,2.77285,1.43592,0.000705101,0.000705101,0.000705101
8,21.0927,1.18435,1.60614,1.19635,0.72181,0.41533,0.7569,0.39912,1.42553,2.50403,1.38267,0.000789775,0.000789775,0.000789775
9,24.1221,1.12986,1.51879,1.16757,0.00431,1,0.73275,0.36485,1.37484,2.89078,1.35056,0.000869827,0.000869827,0.000869827
10,26.2442,1.17469,1.57161,1.19417,1,0.39336,0.78876,0.39523,1.4237,2.68352,1.33185,0.000945259,0.000945259,0.000945259
11,28.6648,1.10373,1.49938,1.16233,0.73133,0.65,0.7052,0.4014,1.36028,2.50557,1.36836,0.00101607,0.00101607,0.00101607
12,30.8726,1.08912,1.29785,1.13044,0.63931,0.50392,0.58483,0.35959,1.3344,2.29975,1.37533,0.00108226,0.00108226,0.00108226
13,32.9517,1.12005,1.40534,1.18202,0.73924,0.43599,0.59443,0.37232,1.45254,2.24653,1.4296,0.00114383,0.00114383,0.00114383
14,35.8103,1.13257,1.35091,1.13743,0.80847,0.68799,0.74796,0.44214,1.36888,1.99217,1.48738,0.00120078,0.00120078,0.00120078
15,38.719,1.15734,1.31438,1.15068,0.80158,0.72524,0.83793,0.57452,1.23116,1.8016,1.32632,0.00120491,0.00120491,0.00120491
16,40.7571,1.07502,1.14207,1.08515,0.91709,0.7,0.81762,0.48918,1.41604,1.8717,1.43884,0.0011719,0.0011719,0.0011719
17,42.9203,1.11533,1.21052,1.1446,0.85648,0.64097,0.79057,0.48951,1.40209,1.86163,1.5095,0.00113889,0.00113889,0.00113889
18,44.992,1.06802,1.18001,1.11205,0.88031,0.6,0.76868,0.4922,1.43152,1.86111,1.38989,0.00110589,0.00110589,0.00110589
19,47.1002,1.02082,1.13191,1.07426,0.76356,0.69903,0.7643,0.52052,1.21599,1.76857,1.30992,0.00107288,0.00107288,0.00107288
20,49.6299,0.9647,1.09627,1.07995,0.76926,0.75,0.8467,0.60902,1.14425,1.59909,1.27176,0.00103987,0.00103987,0.00103987
21,54.4997,0.89692,1.08381,1.08023,0.90989,0.68721,0.85604,0.57172,1.21091,1.4785,1.27401,0.00100687,0.00100687,0.00100687
22,56.7636,0.94079,1.03724,1.07699,0.9356,0.78785,0.90011,0.60163,1.19048,1.31713,1.45278,0.000973861,0.000973861,0.000973861
23,58.9016,0.91278,0.99725,1.06298,0.82699,0.73731,0.88725,0.60798,1.22315,1.45444,1.44552,0.000940855,0.000940855,0.000940855
24,61.3696,0.93983,1.07492,1.07763,0.93292,0.75,0.8936,0.57808,1.27702,1.36805,1.46699,0.000907848,0.000907848,0.000907848
25,64.9003,0.94686,1.00846,1.02531,0.89937,0.9,0.92471,0.5983,1.22796,1.2199,1.51086,0.000874842,0.000874842,0.000874842
26,68.6676,0.93903,0.96158,1.08313,0.92949,0.95,0.97132,0.62117,1.20904,1.23927,1.45114,0.000841835,0.000841835,0.000841835
27,70.8255,0.92792,0.93742,1.04463,0.92784,0.88814,0.97833,0.62487,1.27776,1.48407,1.44071,0.000808828,0.000808828,0.000808828
28,73.4248,0.85421,0.88474,1.04597,0.95085,0.90484,0.99045,0.63592,1.35712,1.14757,1.56181,0.000775822,0.000775822,0.000775822
29,75.5615,0.85841,0.9465,1.04276,0.89684,0.93599,0.96444,0.62224,1.30621,1.08958,1.56706,0.000742815,0.000742815,0.000742815
30,79.2508,0.81664,0.89385,1.02218,0.9438,0.9409,0.96983,0.64731,1.3063,1.04931,1.56318,0.000709809,0.000709809,0.000709809
31,82.7384,0.84771,0.83794,1.02129,0.83066,0.84463,0.90431,0.57665,1.3516,1.32161,1.51642,0.000676802,0.000676802,0.000676802
32,85.0621,0.87921,0.88277,1.0533,0.81618,0.79896,0.81056,0.52995,1.34894,1.57208,1.56201,0.000643795,0.000643795,0.000643795
33,87.8503,0.77386,0.81999,1.01466,0.80153,0.75,0.81297,0.57785,1.2579,1.5009,1.48507,0.000610789,0.000610789,0.000610789
34,90.6686,0.86562,0.86655,1.04499,0.8555,0.75,0.83595,0.59046,1.11514,1.42794,1.36609,0.000577782,0.000577782,0.000577782
35,93.7675,0.76208,0.8205,1.00263,0.8564,0.74469,0.80741,0.56006,1.14945,1.51304,1.39727,0.000544776,0.000544776,0.000544776
36,97.3391,0.82629,0.84625,1.02696,0.83216,0.8,0.81832,0.59206,1.12084,1.41118,1.36168,0.000511769,0.000511769,0.000511769
37,99.6813,0.79032,0.78758,1.01389,0.89649,0.8,0.83858,0.60435,1.12446,1.25174,1.36538,0.000478762,0.000478762,0.000478762
38,102.087,0.73342,0.7724,0.99174,0.88517,0.8,0.84242,0.61586,1.13438,1.12054,1.34479,0.000445756,0.000445756,0.000445756
39,104.163,0.73552,0.74367,0.98097,0.89701,0.84523,0.88771,0.6096,1.25906,1.17716,1.40034,0.000412749,0.000412749,0.000412749
40,106.794,0.70672,0.70082,0.96493,0.9038,0.845,0.89484,0.60227,1.2736,1.16394,1.43936,0.000379743,0.000379743,0.000379743
41,112.672,0.70464,0.90712,0.97559,0.90687,0.8475,0.88893,0.60049,1.25977,1.2083,1.4222,0.000346736,0.000346736,0.000346736
42,115.266,0.68825,0.89212,0.95052,0.89595,0.83782,0.89848,0.57223,1.35762,1.27485,1.48991,0.000313729,0.000313729,0.000313729
43,118.014,0.68137,0.92298,0.94289,0.8612,0.90721,0.91829,0.57758,1.38202,1.19608,1.51198,0.000280723,0.000280723,0.000280723
44,120.832,0.66248,0.86395,0.93269,0.89944,0.9305,0.945,0.62558,1.267,1.05568,1.44239,0.000247716,0.000247716,0.000247716
45,124.671,0.59726,0.84095,0.90716,0.90991,0.94099,0.94738,0.62818,1.24003,1.01434,1.42883,0.00021471,0.00021471,0.00021471
46,127.003,0.66455,0.84541,0.95286,0.90423,0.92193,0.94299,0.63615,1.23445,1.04971,1.40465,0.000181703,0.000181703,0.000181703
47,129.513,0.6041,0.80085,0.9004,0.90678,0.91415,0.92965,0.62777,1.23249,1.12424,1.37668,0.000148696,0.000148696,0.000148696
48,131.853,0.59815,0.7925,0.89427,0.89076,0.8998,0.92333,0.64655,1.17342,1.14002,1.34236,0.00011569,0.00011569,0.00011569
49,134.455,0.60456,0.78329,0.90486,0.88813,0.89508,0.915,0.64762,1.15565,1.14029,1.33495,8.26832e-05,8.26832e-05,8.26832e-05
50,138.243,0.62246,0.78476,0.9032,0.91313,0.93357,0.92625,0.6647,1.14588,1.12468,1.32988,4.96766e-05,4.96766e-05,4.96766e-05
